X,Y,Bus ID,Bus Name,BaseKV,Bus Type,MW Load,MVAR Load,V Mag,V Angle,MW Shunt G,MVAR Shunt B,Area,Sub Area,Zone
-79.6029868001403,36.6249480837164,"123",Austen,230,PV,0,0,1.05,9.05617,0,0,"1",12,15
-80.5107464852498,36.8484292860136,"124",Avery,230,PQ,0,0,1.01155,2.38339,0,0,"1",12,16
-79.0337003338099,34.388494592919,"201",Bach,138,PV,108,22,1.04841,-10.68973,0,0,"2",21,21
-78.9916758785679,34.3852176732103,"202",Bacon,138,PV,97,20,1.04844,-10.75906,0,0,"2",21,22
-79.5605571788437,35.1627247898661,"203",Baffin,138,PQ,180,37,1.01886,-10.47453,0,0,"2",21,21
-78.7621445853953,34.8138217975043,"204",Bailey,138,PQ,74,15,1.0189,-13.48479,0,0,"2",21,21
-79.0007386469479,34.7022595190271,"205",Bain,138,PQ,71,14,1.03603,-13.61187,0,0,"2",21,21
-79.2838779953461,34.8188377016212,"206",Bajer,138,PQ,136,28,1.03259,-16.15672,0,-100,"2",21,22
-79.599872331234,34.0298754389365,"207",Baker,138,PV,125,25,1.03973,-13.46606,0,0,"2",21,22
-79.5398055795141,34.2860506138928,"208",Balch,138,PQ,171,35,1.01203,-16.22359,0,0,"2",21,22
-79.1028742410279,35.006997469259,"209",Balzac,138,PQ,175,36,1.02781,-11.72409,0,0,"2",21,23
-79.1083695753168,35.0273373880874,"210",Banks,138,PQ,195,40,1.05,-13.47986,0,0,"2",21,23
-79.0949023927998,35.0221335541648,"211",Bardeen,230,PQ,0,0,1.02735,-6.93336,0,0,"2",21,23
-79.116340061616,35.0122037385089,"212",Barkla,230,PQ,0,0,1.01921,-5.25334,0,0,"2",21,23
-78.5382253725431,35.1494365098324,"213",Barlow,230,PV,265,54,1.03752,-3.2151,0,0,"2",22,24
-79.0651432641206,35.4214419866684,"214",Barry,230,PV,194,39,1.04335,-4.68519,0,0,"2",22,26
-79.3326476777401,35.7545224141854,"215",Barton,230,PV,317,64,1.04327,4.63351,0,0,"2",22,26
-79.1465376899067,35.8006804943064,"216",Basov,230,PV,100,20,1.04556,4.70009,0,0,"2",22,26
-79.1572434084284,36.0582144128547,"217",Bates,230,PQ,0,0,1.04847,8.81839,0,0,"2",22,27
-79.035702312041,36.1608110440037,"218",Bayle,230,PV,333,68,1.05,9.99473,0,0,"2",22,27
-78.8660306117059,35.8895951758435,"219",Bede,230,PQ,181,37,1.03946,4.21233,0,0,"2",22,25
-78.3913298386184,36.1014280442996,"220",Beethoven,230,PQ,128,26,1.0438,5.66449,0,0,"2",22,25
-78.8042365439235,36.1233156165902,"221",Behring,230,PV,0,0,1.05,10.63209,0,0,"2",22,27
-77.9676541862574,35.5417857784827,"222",Bell,230,PV,0,0,1.05,16.43203,0,0,"2",22,27
-78.1974788448958,36.0560699463427,"223",Bloch,230,PV,0,0,1.05,7.18151,0,0,"2",22,25
-79.5690777120465,35.1494041230028,"224",Bordet,230,PQ,0,0,1.01456,-0.96005,0,0,"2",22,26
-76.6807543813418,39.0720674048089,"301",Cabell,138,PV,108,22,1.0486,-9.34821,0,0,"3",31,31
-76.6665710790682,39.1164216421372,"302",Cabot,138,PV,97,20,1.04864,-9.431,0,0,"3",31,32
-77.0507844568039,38.3666713966068,"303",Caesar,138,PQ,180,37,1.01045,-8.57689,0,0,"3",31,31
-77.1649936988413,39.1413623078508,"304",Caine,138,PQ,74,15,1.01785,-12.18784,0,0,"3",31,31
-77.0138999126509,38.9452650774445,"305",Calvin,138,PQ,71,14,1.03609,-12.35005,0,0,"3",31,31
-77.1543219157421,38.7572523419181,"306",Camus,138,PQ,136,28,1.0326,-14.94205,0,-100,"3",31,32
-77.3694136193011,39.7235625248889,"307",Carew,138,PV,125,25,1.03804,-12.54795,0,0,"3",31,32
-77.418776760571,39.4726762673841,"308",Carrel,138,PQ,171,35,1.01056,-15.18287,0,0,"3",31,32
-77.3659923443015,38.7405450368786,"309",Carter,138,PQ,175,36,1.02579,-10.44617,0,0,"3",31,33
-77.3855938813938,38.727206850148,"310",Caruso,138,PQ,195,40,1.05,-12.30117,0,0,"3",31,33
-77.3710433640076,38.7246685074868,"311",Cary,230,PQ,0,0,1.0283,-5.74069,0,0,"3",31,33
-77.3805855431971,38.7430588119645,"312",Caxton,230,PQ,0,0,1.019,-4.14604,0,0,"3",31,33
-77.7961425195955,38.9598642114939,"313",Cecil,230,PV,265,54,1.03802,-2.41513,0,0,"3",32,34
-77.4901406815915,38.2671235907935,"314",Chain,230,PV,194,39,1.04631,-3.20793,0,0,"3",32,36
-77.4360730447508,37.8321623727608,"315",Chase,230,PV,317,64,1.043,7.05088,0,0,"3",32,36
-77.6204992560864,37.8108868311152,"316",Chifa,230,PV,100,20,1.04558,6.59875,0,0,"3",32,36
-77.5624293754417,37.5066149525472,"317",Chuhsi,230,PQ,0,0,1.04785,10.34418,0,0,"3",32,37
-77.5157968697688,37.3640215862792,"318",Clark,230,PV,333,68,1.05,11.34262,0,0,"3",32,37
-77.8713355057713,37.8553559368748,"319",Clay,230,PQ,181,37,1.03953,5.91539,0,0,"3",32,35
-78.2591655580862,38.1012700075064,"320",Clive,230,PQ,128,26,1.04389,7.19709,0,0,"3",32,35
-77.2430919735076,37.3163743058304,"321",Cobb,230,PV,0,0,1.05,12.34122,0,0,"3",32,37
-76.4739798637722,37.153894446188,"322",Cole,230,PV,0,0,1.05,18.06914,0,0,"3",32,37
-78.3876681906026,38.2739919561899,"323",Comte,230,PV,0,0,1.05,8.62112,0,0,"3",32,35
-77.0647943645094,38.3670268708725,"324",Curie,230,PQ,0,0,1.01046,1.30606,0,0,"3",32,36
-78.3783922033503,38.2867766991831,"325",Curtiss,230,PQ,0,0,1.04986,8.99332,0,0,"3",32,35
