X,Y,Bus ID,Bus Name,BaseKV,Bus Type,MW Load,MVAR Load,V Mag,V Angle,MW Shunt G,MVAR Shunt B,Area,Sub Area,Zone
-118.724594020819,46.5021973718894,"310",Caruso,138,PQ,195,40,1.05,-12.30117,0,0,"3",31,33
-118.717185611819,46.4894194136894,"311",Cary,230,PQ,0,0,1.0283,-5.74069,0,0,"3",31,33
-118.709231415819,46.5085502068894,"312",Caxton,230,PQ,0,0,1.019,-4.14604,0,0,"3",31,33
-118.810263719819,46.9662451439894,"313",Cecil,230,PV,265,54,1.03802,-2.41513,0,0,"3",32,34
-119.144239632819,46.2865490486894,"314",Chain,230,PV,194,39,1.04631,-3.20793,0,0,"3",32,36
-119.442685249819,45.9655431542894,"315",Chase,230,PV,317,64,1.043,7.05088,0,0,"3",32,36
-119.577530143819,46.0931461740894,"316",Chifa,230,PV,100,20,1.04558,6.59875,0,0,"3",32,36
-119.773289325819,45.8530798711894,"317",Chuhsi,230,PQ,0,0,1.04785,10.34418,0,0,"3",32,37
-119.852547384819,45.7257000502894,"318",Clark,230,PV,333,68,1.05,11.34262,0,0,"3",32,37
-119.704699265819,46.3138820794894,"319",Clay,230,PQ,181,37,1.03953,5.91539,0,0,"3",32,35
-119.765610510819,46.7690476535894,"320",Clive,230,PQ,128,26,1.04389,7.19709,0,0,"3",32,35
-119.713755990819,45.4861688983894,"321",Cobb,230,PV,0,0,1.05,12.34122,0,0,"3",32,37
-119.343847049819,44.7925547999894,"322",Cole,230,PV,0,0,1.05,18.06914,0,0,"3",32,37
-119.715897721819,46.9785099096894,"323",Comte,230,PV,0,0,1.05,8.62112,0,0,"3",32,35
-118.794301937819,46.0249314566894,"324",Curie,230,PQ,0,0,1.01046,1.30606,0,0,"3",32,36
-119.700141550819,46.9796219655894,"325",Curtiss,230,PQ,0,0,1.04986,8.99332,0,0,"3",32,35
