Bus
Number,Name,Area Name,Sub Num,Nom kV,PU Volt,Volt (kV),Angle (Deg),Load MW,Load Mvar,Gen MW,Gen Mvar,Switched Shunts Mvar,Act G Shunt MW,Act B Shunt Mvar,Area Num,Zone Num
324,CURIE,3,43,230.00,1.01531,233.522,-95.71,,,0.00,0.00,,0.00,0.00,3,36
325,CURTISS,3,61,230.00,0.84094,193.416,-77.51,,,,,,0.00,0.00,3,35
1001,ABEL_101_Gen1,1,1,22.00,1.17569,25.865,-65.40,,,8.00,25.36,,0.00,0.00,1,11
1002,ABEL_101_Gen2,1,1,22.00,1.17569,25.865,-65.40,,,8.00,25.36,,0.00,0.00,1,11
1003,ABEL_101_Gen3,1,1,22.00,1.09306,24.047,-61.73,,,76.00,25.40,,0.00,0.00,1,11
1004,ABEL_101_Gen4,1,1,22.00,1.09306,24.047,-61.73,,,76.00,25.40,,0.00,0.00,1,11
1005,ADAMS_102_Gen1,1,2,22.00,1.12430,24.735,-65.42,,,8.00,13.35,,0.00,0.00,1,12
1006,ADAMS_102_Gen2,1,2,22.00,1.12430,24.735,-65.42,,,8.00,13.35,,0.00,0.00,1,12
1007,ADAMS_102_Gen3,1,2,22.00,1.07720,23.698,-61.79,,,76.00,13.37,,0.00,0.00,1,12
1008,ADAMS_102_Gen4,1,2,22.00,1.07720,23.698,-61.79,,,76.00,13.37,,0.00,0.00,1,12
1009,ALDER_107_Gen1,1,7,22.00,1.00707,22.156,-75.84,,,0.00,0.00,,0.00,0.00,1,12
1010,ARNE_113_Gen1,1,10,22.00,1.04811,23.059,-53.52,,,55.00,12.47,,0.00,0.00,1,14
1011,ARNE_113_Gen2,1,10,22.00,1.04811,23.059,-53.52,,,55.00,12.47,,0.00,0.00,1,14
1012,ARNE_113_Gen3,1,10,22.00,1.04811,23.059,-53.52,,,55.00,12.47,,0.00,0.00,1,14
1013,ARNE_113_Gen4,1,10,22.00,1.04811,23.059,-53.52,,,55.00,12.47,,0.00,0.00,1,14
1014,ARNOLD_114_Gen1,1,11,22.00,1.30966,28.813,-55.48,,,0.00,563.47,,0.00,0.00,1,16
1015,ARTHUR_115_Gen1,1,12,22.00,0.94256,20.736,-30.73,,,5.00,6.00,,0.00,0.00,1,16
1016,ARTHUR_115_Gen2,1,12,22.00,0.94256,20.736,-30.73,,,5.00,6.00,,0.00,0.00,1,16
1017,ARTHUR_115_Gen3,1,12,22.00,0.94025,20.685,-26.47,,,155.00,80.00,,0.00,0.00,1,16
1018,ASSER_116_Gen1,1,13,22.00,0.97750,21.505,-31.19,,,155.00,80.00,,0.00,0.00,1,16
1019,ASTOR_118_Gen1,1,15,22.00,0.88898,19.558,-24.37,,,0.00,0.00,,0.00,0.00,1,17
1020,ATTLEE_121_Gen1,1,18,22.00,1.05000,23.100,13.09,,,1917.31,1160.00,,0.00,0.00,1,17
1021,AUBREY_122_Gen1,1,19,22.00,1.19697,26.333,-11.54,,,50.00,76.31,,0.00,0.00,1,17
1022,AUBREY_122_Gen2,1,19,22.00,1.19697,26.333,-11.54,,,50.00,76.31,,0.00,0.00,1,17
1023,AUBREY_122_Gen3,1,19,22.00,1.19697,26.333,-11.54,,,50.00,76.31,,0.00,0.00,1,17
1024,AUBREY_122_Gen4,1,19,22.00,1.19697,26.333,-11.54,,,50.00,76.31,,0.00,0.00,1,17
1025,AUBREY_122_Gen5,1,19,22.00,1.19697,26.333,-11.54,,,50.00,76.31,,0.00,0.00,1,17
1026,AUBREY_122_Gen6,1,19,22.00,1.19697,26.333,-11.54,,,50.00,76.31,,0.00,0.00,1,17
1027,AUSTEN_123_Gen1,1,20,22.00,1.12905,24.839,-43.35,,,155.00,111.33,,0.00,0.00,1,15
1028,AUSTEN_123_Gen2,1,20,22.00,1.09338,24.054,-42.96,,,350.00,111.32,,0.00,0.00,1,15
1029,AUSTEN_123_Gen3,1,20,22.00,1.22349,26.917,-43.55,,,55.00,96.95,,0.00,0.00,1,15
1030,AUSTEN_123_Gen4,1,20,22.00,1.22349,26.917,-43.55,,,55.00,96.95,,0.00,0.00,1,15
1031,AUSTEN_123_Gen5,1,20,22.00,1.22349,26.917,-43.55,,,55.00,96.95,,0.00,0.00,1,15
1032,BACH_201_Gen1,2,21,22.00,1.13372,24.942,-82.71,,,8.00,13.01,,0.00,0.00,2,21
1033,BACH_201_Gen2,2,21,22.00,1.13372,24.942,-82.71,,,8.00,13.01,,0.00,0.00,2,21
1034,BACH_201_Gen3,2,21,22.00,1.08923,23.963,-79.10,,,76.00,13.87,,0.00,0.00,2,21
1035,BACH_201_Gen4,2,21,22.00,1.09926,24.184,-79.03,,,50.00,13.93,,0.00,0.00,2,21
1036,BACON_202_Gen1,2,22,22.00,1.11946,24.628,-82.73,,,8.00,9.83,,0.00,0.00,2,22
1037,BACON_202_Gen2,2,22,22.00,1.11946,24.628,-82.73,,,8.00,9.83,,0.00,0.00,2,22
1038,BACON_202_Gen3,2,22,22.00,1.08389,23.846,-79.13,,,76.00,9.84,,0.00,0.00,2,22
1039,BACON_202_Gen4,2,22,22.00,1.08389,23.846,-79.13,,,76.00,9.84,,0.00,0.00,2,22
1040,BAKER_207_Gen1,2,27,22.00,0.99597,21.911,-87.60,,,55.00,19.00,,0.00,0.00,2,22
1041,BAKER_207_Gen2,2,27,22.00,0.99597,21.911,-87.60,,,55.00,19.00,,0.00,0.00,2,22
1042,BARLOW_213_Gen1,2,30,22.00,1.10013,24.203,-67.64,,,355.00,116.55,,0.00,0.00,2,24
1043,BARLOW_213_Gen2,2,30,22.00,1.14153,25.114,-67.68,,,55.00,41.48,,0.00,0.00,2,24
1044,BARLOW_213_Gen3,2,30,22.00,1.14153,25.114,-67.68,,,55.00,41.48,,0.00,0.00,2,24
1045,BARRY_214_Gen1,2,31,22.00,1.15763,25.468,-74.89,,,0.00,168.61,,0.00,0.00,2,26
1046,BARTON_215_Gen1,2,32,22.00,1.11465,24.522,-57.46,,,55.00,31.24,,0.00,0.00,2,26
1047,BARTON_215_Gen2,2,32,22.00,1.11465,24.522,-57.46,,,55.00,31.24,,0.00,0.00,2,26
1048,BARTON_215_Gen3,2,32,22.00,1.11693,24.572,-57.43,,,50.00,29.39,,0.00,0.00,2,26
1049,BARTON_215_Gen4,2,32,22.00,1.11693,24.572,-57.43,,,50.00,29.39,,0.00,0.00,2,26
1050,BARTON_215_Gen5,2,32,22.00,1.11693,24.572,-57.43,,,50.00,29.39,,0.00,0.00,2,26
1051,BASOV_216_Gen1,2,33,22.00,1.14859,25.269,-59.25,,,155.00,143.30,,0.00,0.00,2,26
1052,BAYLE_218_Gen1,2,35,22.00,1.06463,23.422,-59.43,,,0.00,0.00,,0.00,0.00,2,27
1053,BEHRING_221_Gen1,2,38,22.00,1.09183,24.020,-54.00,,,296.97,80.07,,0.00,0.00,2,27
1054,BELL_222_Gen1,2,39,22.00,1.06558,23.443,-46.50,,,50.00,-0.95,,0.00,0.00,2,27
1055,BELL_222_Gen2,2,39,22.00,1.06558,23.443,-46.50,,,50.00,-0.95,,0.00,0.00,2,27
1056,BELL_222_Gen3,2,39,22.00,1.06558,23.443,-46.50,,,50.00,-0.95,,0.00,0.00,2,27
1057,BELL_222_Gen4,2,39,22.00,1.06558,23.443,-46.50,,,50.00,-0.95,,0.00,0.00,2,27
1058,BELL_222_Gen5,2,39,22.00,1.06558,23.443,-46.50,,,50.00,-0.95,,0.00,0.00,2,27
1059,BELL_222_Gen6,2,39,22.00,1.06558,23.443,-46.50,,,50.00,-0.95,,0.00,0.00,2,27
1060,BLOCH_223_Gen1,2,40,22.00,1.08414,23.851,-61.26,,,155.00,18.79,,0.00,0.00,2,25
1061,BLOCH_223_Gen2,2,40,22.00,1.08414,23.851,-61.26,,,155.00,18.79,,0.00,0.00,2,25
1062,BLOCH_223_Gen3,2,40,22.00,1.07754,23.706,-61.02,,,350.00,18.81,,0.00,0.00,2,25
1063,BLOCH_223_Gen4,2,40,22.00,1.10879,24.393,-64.45,,,22.00,18.79,,0.00,0.00,2,25
1064,BLOCH_223_Gen5,2,40,22.00,1.10879,24.393,-64.45,,,22.00,18.79,,0.00,0.00,2,25
1065,BLOCH_223_Gen6,2,40,22.00,1.10879,24.393,-64.45,,,22.00,18.79,,0.00,0.00,2,25
1066,CABELL_301_Gen1,3,41,22.00,1.24875,27.473,-115.90,,,8.00,26.95,,0.00,0.00,3,31
1067,CABELL_301_Gen2,3,41,22.00,1.24875,27.473,-115.90,,,8.00,26.95,,0.00,0.00,3,31
1068,CABELL_301_Gen3,3,41,22.00,1.18718,26.118,-113.77,,,44.00,31.15,,0.00,0.00,3,31
1069,CABELL_301_Gen4,3,41,22.00,1.18718,26.118,-113.77,,,44.00,31.15,,0.00,0.00,3,31
1070,CABOT_302_Gen1,3,42,22.00,1.24466,27.383,-116.02,,,8.00,25.65,,0.00,0.00,3,32
1071,CABOT_302_Gen2,3,42,22.00,1.24466,27.383,-116.02,,,8.00,25.65,,0.00,0.00,3,32
1072,CABOT_302_Gen3,3,42,22.00,1.18431,26.055,-112.92,,,55.00,29.29,,0.00,0.00,3,32
1073,CABOT_302_Gen4,3,42,22.00,1.18431,26.055,-112.92,,,55.00,29.29,,0.00,0.00,3,32
1074,CAREW_307_Gen1,3,47,22.00,1.13113,24.885,-120.14,,,55.00,39.02,,0.00,0.00,3,32
1075,CAREW_307_Gen2,3,47,22.00,1.13113,24.885,-120.14,,,55.00,39.02,,0.00,0.00,3,32
1076,CECIL_313_Gen1,3,50,22.00,0.94599,20.812,-101.72,,,0.00,0.00,,0.00,0.00,3,34
1077,CHAIN_314_Gen1,3,51,22.00,1.28073,28.176,-101.40,,,0.00,413.28,,0.00,0.00,3,36
1078,CHASE_315_Gen1,3,52,22.00,1.12164,24.676,-84.69,,,5.00,7.46,,0.00,0.00,3,36
1079,CHASE_315_Gen2,3,52,22.00,1.12164,24.676,-84.69,,,5.00,7.46,,0.00,0.00,3,36
1080,CHASE_315_Gen3,3,52,22.00,1.12164,24.676,-84.69,,,5.00,7.46,,0.00,0.00,3,36
1081,CHASE_315_Gen4,3,52,22.00,1.12164,24.676,-84.69,,,5.00,7.46,,0.00,0.00,3,36
1082,CHASE_315_Gen5,3,52,22.00,1.12164,24.676,-84.69,,,5.00,7.46,,0.00,0.00,3,36
1083,CHASE_315_Gen6,3,52,22.00,1.08241,23.813,-81.46,,,55.00,11.72,,0.00,0.00,3,36
1084,CHASE_315_Gen7,3,52,22.00,1.08241,23.813,-81.46,,,55.00,11.72,,0.00,0.00,3,36
1085,CHASE_315_Gen8,3,52,22.00,1.11367,24.501,-83.39,,,55.00,39.31,,0.00,0.00,3,36
1086,CHIFA_316_Gen1,3,53,22.00,1.36583,30.048,-83.85,,,155.00,601.32,,0.00,0.00,3,36
1087,CLARK_318_Gen1,3,55,22.00,1.07543,23.659,-82.01,,,0.00,0.00,,0.00,0.00,3,37
1088,COBB_321_Gen1,3,58,22.00,1.13073,24.876,-76.08,,,355.00,176.70,,0.00,0.00,3,37
1089,COLE_322_Gen1,3,59,22.00,1.08229,23.810,-69.76,,,55.00,0.07,,0.00,0.00,3,37
1090,COLE_322_Gen2,3,59,22.00,1.08229,23.810,-69.76,,,55.00,0.07,,0.00,0.00,3,37
1091,COLE_322_Gen3,3,59,22.00,1.08225,23.809,-69.72,,,50.00,0.07,,0.00,0.00,3,37
1092,COLE_322_Gen4,3,59,22.00,1.08225,23.809,-69.72,,,50.00,0.07,,0.00,0.00,3,37
1093,COLE_322_Gen5,3,59,22.00,1.08225,23.809,-69.72,,,50.00,0.07,,0.00,0.00,3,37
1094,COLE_322_Gen6,3,59,22.00,1.08225,23.809,-69.72,,,50.00,0.07,,0.00,0.00,3,37
1095,COMTE_323_Gen1,3,60,22.00,0.88528,19.476,-81.65,,,0.00,0.00,,0.00,0.00,3,35
1096,COMTE_323_Gen2,3,60,22.00,0.88528,19.476,-81.65,,,0.00,0.00,,0.00,0.00,3,35
